S.no,Dealer Name,Fabrication Number,Product Sub Group,Warranty Type,Model,Customer Name,Fabrication Number,Location,OEM person,Model,ESN,Service data,Service HMR,Category,Segment,Service Engineer,Comm Date,,Inv Date,Latest Service Call,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,Jan-26,,Feb-26,DATE,HMR,LAST SERCICE DETAIL,HMR,Last service date,OF,AFC,AFE,AOS,VK,OF HMR,OF LAST SERVICE DATE,HMR of OF since last service,Days of OF  since last service,HMR DUE,AGEING DUE,AFC HMR,AFC SERVICE DATE,HMR of AFC since last service,Days of AFC  since last service,AFE HMR,AFE SERVICE DATE,HMR of AFE since last service,Days of AFE  since last service,AOS HMR,AOS DATE,HMR of AOS since last service,Days of AOS  since last service,VK HMR,VK DATE,HMR of VK since last service,Days of VK since last service,status,Shifted,Scrapped,Dealer Remarks,Oil R Date,AFC R Date,AFE R Date,MOF R Date,ROF R Date,AOS R Date,RGT R Date,1500 kit R Date,3000 kit R Date
Out of Warranty,A,BTKD200646,DPSAC - SKID (C&M),Out of warranty,PG 600S-230 WW 6CTA,Ajay Kumar Singh,BTKD200646,"RANCHI PATNA ROAD, NH-33, SINDUR, HAZARIBAGH",Samarjeet,,12B84523497,,,A (100% potential spares purchased),,Bikram  Sahoo,28-May-20,28-May-22,17-Dec-19,CC-01830763,,,2770,,0,2982,2975,0,05-02-2026,2982,0,1210,06-07-2023,0,0,0,0,0,0,28-05-2020,2982,2078,,,0,28-05-2020,2982,2078,0,28-05-2020,2982,2078,0,28-05-2020,2982,2078,0,28-05-2020,2982,2078,Active,,,#N/A,05-Jul-23,05-Jul-23,23-Nov-22,05-Jul-23,05-Jul-23,23-Nov-22,,,
Out of Warranty,A,BUKD162510,DPSAC - SKID (C&M),Out of warranty,PG 500-185,JHARKHAND ENTERPRISES,BUKD162510,GAYA,Ajay,,LMHM113582,,,A (100% potential spares purchased),MINING                                                                          ,Bikram  Sahoo,10-Mar-21,10-Mar-23,11-Feb-21,CC-01826908,4210,,4475,,0,5012,0,0,05-02-2026,5012,0,5170,25-02-2026,0,0,0,0,0,0,10-03-2021,5012,1793,,,0,10-03-2021,5012,1793,0,10-03-2021,5012,1793,0,10-03-2021,5012,1793,0,10-03-2021,5012,1793,Active,,,0,24-Feb-26,24-Feb-26,24-Feb-26,24-Feb-26,24-Feb-26,24-Feb-26,24-Feb-26,24-Feb-26,24-Feb-26
Out of Warranty,A,BSID161973,EPSAC - TROLLEY,Out of warranty,PG 500-175,UJJWAL MANDAL,BSID161973,SAHIBGANJ,Amit,,KCHM116673,,,A (100% potential spares purchased),MINING                                                                          ,Bikram  Sahoo,20-Aug-20,20-Aug-22,26-Dec-19,CC-01824498,8950,,9050,,0,9270,9260,0,05-02-2026,9270,0,9265,21-01-2026,0,0,0,0,0,0,20-08-2020,9270,1994,,,0,20-08-2020,9270,1994,0,20-08-2020,9270,1994,0,20-08-2020,9270,1994,0,20-08-2020,9270,1994,Active,,,#N/A,20-Jan-26,20-Jan-26,,20-Jan-26,20-Jan-26,20-Jan-26,20-Jan-26,20-Jan-26,20-Jan-26
Out of Warranty,C,BSFD161799,DPSAC - TROLLEY (C&M),Out of warranty,PG 500-175,M/S AAMBIKA SAW,BSFD161799,"GAYA, BIHAR",Ajay,,KDHM113862,,,C (Not Buying Spares or buying lubricants),MINING                                                                          ,Bikram  Sahoo,06-Nov-19,06-Nov-21,23-Sep-19,CC-01830291,4375,,4485,,0,4696,0,0,05-02-2026,4696,0,3063,28-10-2023,0,0,0,0,0,0,06-11-2019,4696,2283,,,0,06-11-2019,4696,2283,0,06-11-2019,4696,2283,0,06-11-2019,4696,2283,0,06-11-2019,4696,2283,Active,,,Spurious,27-Oct-23,27-Oct-23,27-Oct-23,27-Oct-23,27-Oct-23,27-Oct-23,27-Oct-23,27-Oct-23,
Out of Warranty,A,BUCD162696,DPSAC - SKID (C&M),Out of warranty,PG 550S-200,SHAKTI COMMERCIALS,BUCD162696,"NICHITPUR,Dhanbad",Amit,,MJHM106440,,,A (100% potential spares purchased),MINING                                                                          ,Bikram  Sahoo,11-Jul-21,11-Jul-23,25-Jun-21,CC-01852336,,7325,,7485,7594,7735,0,7530,05-02-2026,7530,0,7815,20-02-2026,0,0,0,0,0,0,11-07-2021,7530,1669,,,0,11-07-2021,7530,1669,0,11-07-2021,7530,1669,0,11-07-2021,7530,1669,0,11-07-2021,7530,1669,Active,,,0,19-Feb-26,19-Feb-26,19-Feb-26,19-Feb-26,19-Feb-26,19-Feb-26,19-Feb-26,19-Feb-26,19-Feb-26
Out of Warranty,A,BSHD200586,DPSAC - SKID (WW),Out of warranty,PG 600S-230 WW 6CTA,SRI MURUGAN BOREWELLS,BSHD200586,"DALADALI, RANCHI",Samarjeet,,84516236,,,A (100% potential spares purchased),,Bikram  Sahoo,22-Nov-19,22-Nov-22,12-Sep-19,CC-01844228,6100,,6255,,0,6551,6515,0,05-02-2026,6551,0,6975,23-01-2026,0,0,0,0,0,0,22-11-2019,6551,2266,,,0,22-11-2019,6551,2266,0,22-11-2019,6551,2266,0,22-11-2019,6551,2266,0,22-11-2019,6551,2266,Active,,,Low running,22-Jan-26,22-Jan-26,22-Jan-26,22-Jan-26,22-Jan-26,24-Oct-25,22-Jan-26,24-Oct-25,24-Oct-25
Out of Warranty,B,BSHD120739,DPSAC - TROLLEY (C&M),Out of warranty,PG 300 - 100 2W HINO,AFCONS INFRASTRUCTURE LIMITED,BSHD120739,#N/A,,,,,,B (Below 100% potential spares purchased),,Debraj Manna,04-Mar-20,04-Mar-22,24-Sep-19,CC-01144626,,,,,1408,1455,0,0,05-02-2026,1455,0,No Service,NO Service,0,0,0,0,0,0,04-03-2020,1455,2163,,,0,04-03-2020,1455,2163,0,04-03-2020,1455,2163,0,04-03-2020,1455,2163,0,04-03-2020,1455,2163,Active,,,#N/A,,,,,,,,,
Out of Warranty,B,BTKD162077,DPSAC - SKID (C&M),Out of warranty,PG 550S-200,ABHISHEK SONI,BTKD162077,"JARANDIH, PHUSHRO,Bokaro",Amit,,LKHM100274,,,B (Below 100% potential spares purchased),,Bikram  Sahoo,12-Mar-20,12-Mar-22,28-Nov-19,CC-01856621,,4970,,5085,5150,5244,0,5085,05-02-2026,5085,0,5258,30-01-2026,0,0,0,0,0,0,12-03-2020,5085,2156,,,0,12-03-2020,5085,2156,0,12-03-2020,5085,2156,0,12-03-2020,5085,2156,0,12-03-2020,5085,2156,Active,,,#N/A,29-Jan-26,29-Jan-26,29-Jan-26,29-Jan-26,29-Jan-26,29-Jan-26,29-Jan-26,29-Jan-26,29-Jan-26
Out of Warranty,C,BSID161961,DPSAC - TROLLEY (C&M),Out of warranty,PG 500-175,SANJAY KUMAR,BSID161961,MADANPUR,Nitesh,,KCHM116762,,,C (Not Buying Spares or buying lubricants),,Bikram  Sahoo,02-Jan-20,02-Jan-22,18-Dec-19,CC-01830455,,,6190,,0,6263,0,0,05-02-2026,6263,0,6200,22-11-2025,0,0,0,0,0,0,02-01-2020,6263,2225,,,0,02-01-2020,6263,2225,0,02-01-2020,6263,2225,0,02-01-2020,6263,2225,0,02-01-2020,6263,2225,Active,,,Spurious,21-Nov-25,21-Nov-25,21-Nov-25,21-Nov-25,21-Nov-25,21-Nov-25,21-Nov-25,21-Nov-25,21-Nov-25
Out of Warranty,B,BTJL152348,EPSAC - TROLLEY,Out of warranty,PG 45 E - 7,PRANAV KUMAR SINGH,BTJL152348,"BIHAR, BEGUSARAI",Ajay,NA,NA,,,B (Below 100% potential spares purchased),MINING                                                                          ,Bikram  Sahoo,06-Aug-20,06-Aug-22,31-Oct-19,CC-01826734,3950,,4150,,0,4558,0,0,05-02-2026,4558,0,2053,17-02-2024,0,0,0,0,0,0,06-08-2020,4558,2008,,,0,06-08-2020,4558,2008,0,06-08-2020,4558,2008,0,06-08-2020,4558,2008,0,06-08-2020,4558,2008,Active,,,#N/A,16-Feb-24,16-Feb-24,,16-Feb-24,16-Feb-24,16-Feb-24,16-Feb-24,16-Feb-24,16-Feb-24
Out of Warranty,C,BTJD162038,DPSAC - SKID (C&M),Out of warranty,PG 500-175,Dunduria Mines Deposit Pvt. Ltd.,BTJD162038," DUNDURIA, GUMLA",Samarjeet,,KBHM118482,27-12-2024,5019,C (Not Buying Spares or buying lubricants),,Bikram  Sahoo,15-May-20,15-May-22,15-Nov-19,CC-01856701,,6005,,6175,6272,6413,0,6490,05-02-2026,6490,0,6490,19-02-2026,0,0,0,0,0,0,15-05-2020,6490,2091,,,0,15-05-2020,6490,2091,0,15-05-2020,6490,2091,0,15-05-2020,6490,2091,0,15-05-2020,6490,2091,Active,,,Spurious,18-Feb-26,18-Feb-26,18-Feb-26,18-Feb-26,18-Feb-26,18-Feb-26,18-Feb-26,18-Feb-26,18-Feb-26
Out of Warranty,C,BSFD161825,DPSAC - TROLLEY (C&M),Out of warranty,PG 400-175 AC,Kalpataru Power Transmission Ltd.,BSFD161825,RAMGARH,Samarjeet,,91H84896145,,,C (Not Buying Spares or buying lubricants),POWER GENERATION                                                                ,Debraj Manna,12-Oct-19,12-Oct-21,12-Aug-19,CC-01326063,,,,,1555,1555,1555,0,05-02-2026,1555,0,No Service,NO Service,0,0,0,0,0,0,12-10-2019,1555,2308,,,0,12-10-2019,1555,2308,0,12-10-2019,1555,2308,0,12-10-2019,1555,2308,0,12-10-2019,1555,2308,Project closed,,,,,,,,,,,,
Out of Warranty,C,BSFD161833,DPSAC - TROLLEY (C&M),Out of warranty,PG 400-175 AC,KALPATRU POWER TRANSMISSION LIMITED,BSFD161833,#N/A,,,,,,C (Not Buying Spares or buying lubricants),,Debraj Manna,27-Oct-19,27-Oct-21,12-Aug-19,CC-01326056,,,,,1000,1000,0,0,05-02-2026,1000,0,No Service,NO Service,0,0,0,0,0,0,27-10-2019,1000,2293,,,0,27-10-2019,1000,2293,0,27-10-2019,1000,2293,0,27-10-2019,1000,2293,0,27-10-2019,1000,2293,Project closed,,,,,,,,,,,,
Out of Warranty,C,BSFD161819,DPSAC - TROLLEY (C&M),Out of warranty,PG 500-175,ANKIT ACCESSORIES,BSFD161819," DUMKA,, JHARKHAND",Amit,,KDHM114110,,,C (Not Buying Spares or buying lubricants),,Bikram  Sahoo,01-Nov-19,01-Nov-21,13-Aug-19,CC-01852560,,8600,,8700,8773,8867,0,8730,05-02-2026,8730,0,3986,17-02-2024,0,0,0,0,0,0,01-11-2019,8730,2288,,,0,01-11-2019,8730,2288,0,01-11-2019,8730,2288,0,01-11-2019,8730,2288,0,01-11-2019,8730,2288,Active,,,Spurious,16-Feb-24,16-Feb-24,16-Feb-24,16-Feb-24,16-Feb-24,12-Jun-23,12-Jun-23,12-Jun-23,12-Jun-23
Out of Warranty,A,BSFD161830,DPSAC - TROLLEY (C&M),Out of warranty,PG 500-175,RAJEEV KUMAR MAHATO,BSFD161830,"DUMRI, JHARKHAND",,,KDHM113975,,,A (100% potential spares purchased),,Bikram  Sahoo,21-Nov-19,21-Nov-21,13-Aug-19,CC-01830421,,,6300,,0,6300,6300,0,05-02-2026,6300,0,3910,08-02-2023,0,0,0,0,0,0,21-11-2019,6300,2267,,,0,21-11-2019,6300,2267,0,21-11-2019,6300,2267,0,21-11-2019,6300,2267,0,21-11-2019,6300,2267,Active,,,Spourious,07-Feb-23,07-Feb-23,07-Feb-23,07-Feb-23,07-Feb-23,,,,
Out of Warranty,C,BSHD120752,DPSAC - TROLLEY (C&M),Out of warranty,PG 300 - 100 2W HINO,ATULYA CONSTRUCTION PVT. LTD.,BSHD120752,#N/A,,,,,,C (Not Buying Spares or buying lubricants),,Bikram  Sahoo,24-May-20,24-May-22,27-Sep-19,CC-01830766,,,2170,,2461,2696,0,0,05-02-2026,2696,0,No Service,NO Service,0,0,0,0,0,0,24-05-2020,2696,2083,,,0,24-05-2020,2696,2083,0,24-05-2020,2696,2083,0,24-05-2020,2696,2083,0,24-05-2020,2696,2083,Active,,,Spurious,,,,,,,,,
Out of Warranty,A,BSGD161898,DPSAC - SKID (C&M),Out of warranty,PG 550S-200,SV DRILLERS,BSGD161898,"ANGAR PATRA,DHANBAD",,,KDHM114094,,,A (100% potential spares purchased),,Bikram  Sahoo,02-Dec-19,02-Dec-21,16-Sep-19,CC-01830527,,,9200,,0,9407,9400,0,05-02-2026,9407,0,5853,21-03-2024,0,0,0,0,0,0,02-12-2019,9407,2256,,,0,02-12-2019,9407,2256,0,02-12-2019,9407,2256,0,02-12-2019,9407,2256,0,02-12-2019,9407,2256,Active,,,Low running,20-Mar-24,20-Mar-24,20-Mar-24,20-Mar-24,,05-Dec-23,05-Dec-23,05-Dec-23,05-Dec-23
Out of Warranty,B,BTKD162074,DPSAC - SKID (C&M),Out of warranty,PG 550S-200,ABHISHEK SONI,BTKD162074,"JARANDIH, PHUSHRO",,,KAHM12006,,,B (Below 100% potential spares purchased),,Bikram  Sahoo,08-Mar-20,08-Mar-22,27-Nov-19,CC-01856613,,11680,,11845,11942,12083,0,11890,05-02-2026,11890,0,11810,24-10-2025,0,0,0,0,0,0,08-03-2020,11890,2159,,,0,08-03-2020,11890,2159,0,08-03-2020,11890,2159,0,08-03-2020,11890,2159,0,08-03-2020,11890,2159,Active,,,#N/A,24-Oct-25,24-Oct-25,24-Oct-25,24-Oct-25,24-Oct-25,24-Oct-25,24-Oct-25,24-Oct-25,24-Oct-25
Out of Warranty,A,BTKD162083,DPSAC - TROLLEY (C&M),Out of warranty,PG 500-175,KRISHNA KUMAR,BTKD162083,"OPP. PUNJAB NATIONAL BANK,, BUKRU, RANCHI",,,KCHM115548,,,A (100% potential spares purchased),DRILLING APPLICATION                                                            ,Bikram  Sahoo,27-Nov-20,27-Nov-22,26-Feb-20,CC-01852038,,2940,,3050,3123,3217,0,3080,05-02-2026,3080,0,3033,24-10-2025,0,0,0,0,0,0,27-11-2020,3080,1895,,,0,27-11-2020,3080,1895,0,27-11-2020,3080,1895,0,27-11-2020,3080,1895,0,27-11-2020,3080,1895,Active,,,Spurious,24-Oct-25,24-Oct-25,24-Oct-25,24-Oct-25,24-Oct-25,24-Oct-25,24-Oct-25,24-Oct-25,24-Oct-25
Out of Warranty,A,BTJD162016,DPSAC - TROLLEY (C&M),Out of warranty,PG 450 - 150 2W 6BTA,DEO KUMAR SINGH,BTJD162016,RAMGARH,,,91L84905555,,,A (100% potential spares purchased),GARAGES                                                                         ,Bikram  Sahoo,02-Oct-20,02-Oct-22,12-Nov-19,CC-01852027,,6360,,6575,6721,6909,0,6635,05-02-2026,6635,0,No Service,NO Service,0,0,0,0,0,0,02-10-2020,6635,1951,,,0,02-10-2020,6635,1951,0,02-10-2020,6635,1951,0,02-10-2020,6635,1951,0,02-10-2020,6635,1951,Active,,,Spurious,,,,,,,,,
Out of Warranty,C,BRAD160816,DPSAC - SKID (C&M),Out of warranty,PG 550S-200,Sri shiva Shakthi Bore wells,BRAD160816,JAMTARA,,,JHHMH02252,,,C (Not Buying Spares or buying lubricants),,Bikram  Sahoo,06-Sep-18,06-Sep-20,,CC-01856397,,7680,,7910,8040,8228,0,7970,05-02-2026,7970,0,5135,05-12-2023,0,0,0,0,0,0,06-09-2018,7970,2709,,,0,06-09-2018,7970,2709,0,06-09-2018,7970,2709,0,06-09-2018,7970,2709,0,06-09-2018,7970,2709,Active,,,Long idle,04-Dec-23,04-Dec-23,04-Dec-23,04-Dec-23,04-Dec-23,,,,
Out of Warranty,B,BRED161077,DPSAC - SKID (WW),Out of warranty,PG 550S-200,VEERA VINAYAKA BOREWELL,BRED161077,BASJORA,,,JDHM422040,,,B (Below 100% potential spares purchased),,Bikram  Sahoo,05-Oct-18,05-Oct-21,22-Aug-18,CC-01856555,,8775,,8830,8862,8909,0,8845,05-02-2026,8845,0,7250,05-12-2023,0,0,0,0,0,0,05-10-2018,8845,2679,,,0,05-10-2018,8845,2679,0,05-10-2018,8845,2679,0,05-10-2018,8845,2679,0,05-10-2018,8845,2679,Active,,,#N/A,04-Dec-23,04-Dec-23,,04-Dec-23,04-Dec-23,29-Sep-23,29-Sep-23,29-Sep-23,29-Sep-23
Out of Warranty,C,BSKD120530,DPSAC - TROLLEY (C&M),Out of warranty,PG 300 - 100 2W HINO,Kalpataru Power Transmission Ltd.,BSKD120530,"Chattar Mandu gola, Ramghar",,,KJEM200319,,,C (Not Buying Spares or buying lubricants),POWER GENERATION                                                                ,Debraj Manna,16-Mar-19,16-Mar-21,19-Feb-19,CC-01253023,,,,,2000,2100,2100,0,05-02-2026,2100,0,No Service,NO Service,0,0,0,0,0,0,16-03-2019,2100,2518,,,0,16-03-2019,2100,2518,0,16-03-2019,2100,2518,0,16-03-2019,2100,2518,0,16-03-2019,2100,2518,Project closed,,,,,,,,,,,,
Out of Warranty,B,BSKD161499,DPSAC - SKID (C&M),Out of warranty,PG 500-175,SHREENATH INFRASOLUTIONS PVT. LTD,BSKD161499,"CHHATRAPUR, PALAMU",,,KJHM101391,,,B (Below 100% potential spares purchased),Other Industry                                                                  ,Bikram  Sahoo,09-Mar-19,09-Mar-21,28-Feb-19,CC-01831484,,,10900,,0,11736,0,0,05-02-2026,11736,0,6999,30-12-2023,0,0,0,0,0,0,09-03-2019,11736,2525,,,0,09-03-2019,11736,2525,0,09-03-2019,11736,2525,0,09-03-2019,11736,2525,0,09-03-2019,11736,2525,Active,,,0,29-Dec-23,29-Dec-23,29-Dec-23,29-Dec-23,29-Dec-23,29-Dec-23,29-Dec-23,29-Dec-23,29-Dec-23
Out of Warranty,A,BSKD161462,DPSAC - SKID (WW),Out of warranty,PG 550S-200,RAJA RIG SERVICE,BSKD161462,"DHANBAD, CONT PERSON :MR. IKTEKHAR AHMAD, PH.NO :9431316718",,,JYHM440360,,,A (100% potential spares purchased),,Bikram  Sahoo,17-Sep-19,17-Sep-22,28-Feb-19,CC-01824410,8740,,8940,,0,9368,9350,0,05-02-2026,9368,0,9220,17-12-2025,0,0,0,0,0,0,17-09-2019,9368,2333,,,0,17-09-2019,9368,2333,0,17-09-2019,9368,2333,0,17-09-2019,9368,2333,0,17-09-2019,9368,2333,Active,,,#N/A,16-Dec-25,16-Dec-25,16-Dec-25,16-Dec-25,16-Dec-25,16-Dec-25,16-Dec-25,16-Dec-25,16-Dec-25
Out of Warranty,C,BSKD161500,DPSAC - TROLLEY (C&M),Out of warranty,PG 500-175,JHARKHAND ENTERPRISES,BSKD161500,GAYA BIHAR,,,KHHM104857,,,C (Not Buying Spares or buying lubricants),,Bikram  Sahoo,08-Apr-19,08-Apr-21,04-Mar-19,CC-01830656,,,6435,,0,6688,0,0,05-02-2026,6688,0,6500,22-11-2025,0,0,0,0,0,0,08-04-2019,6688,2494,,,0,08-04-2019,6688,2494,0,08-04-2019,6688,2494,0,08-04-2019,6688,2494,0,08-04-2019,6688,2494,Active,,,Spurious,21-Nov-25,21-Nov-25,21-Nov-25,21-Nov-25,21-Nov-25,21-Nov-25,21-Nov-25,21-Nov-25,21-Nov-25
Out of Warranty,Shifted,BSLD230358,DPSAC - SKID (WW),Out of warranty,PG1200S-330,Power Borewells,BSLD230358,"DALADALI, RANCHI",,,25444776,,,A (100% potential spares purchased),"WW END CUSTOMER - 6½""                                                           ",Debraj Manna,29-Apr-19,29-Apr-22,22-Mar-19,CC-01704619,,,,,0,,#N/A,#N/A,05-02-2026,#N/A,0,9742,24-06-2025,0,0,0,0,0,0,29-04-2019,#N/A,2474,,,0,29-04-2019,#N/A,2474,0,29-04-2019,#N/A,2474,0,29-04-2019,#N/A,2474,0,29-04-2019,#N/A,2474,Shifted to Hydrabad (NATIONAL EQUIPMENT AGENGIES),Shifted to Hydrabad (NATIONAL EQUIPMENT AGENGIES),,,23-Jun-25,07-Feb-23,07-Feb-23,23-Jun-25,23-Jun-25,23-Jun-25,,,
Out of Warranty,Shifted,BSFD161809,DPSAC - TROLLEY (C&M),Out of warranty,PG 400-175 AC,Amarapali Cylinders Pvt. Ltd.,BSFD161809,"SAMASTIPUR,BIHAR",,,84888078,,,C (Not Buying Spares or buying lubricants),Other Industry                                                                  ,Debraj Manna,04-Oct-19,04-Oct-21,19-Sep-19,CC-00980688,,,,,0,,#N/A,#N/A,05-02-2026,#N/A,0,No Service,NO Service,0,0,0,0,0,0,04-10-2019,#N/A,2316,,,0,04-10-2019,#N/A,2316,0,04-10-2019,#N/A,2316,0,04-10-2019,#N/A,2316,0,04-10-2019,#N/A,2316,Shifted to Chattisgrah (RAJAT EQUIPMENTS PVT LTD - CU1R01854),Shifted to Chattisgrah (RAJAT EQUIPMENTS PVT LTD - CU1R01854),,,,,,,,,,,
Out of Warranty,B,BSBD120631,DPSAC - TROLLEY (C&M),Out of warranty,PG 300 - 150 HINO,LARSEN & TOUBRO LTD,BSBD120631,PATNA,,,NA,,,B (Below 100% potential spares purchased),,Bikram  Sahoo,11-Jun-19,11-Jun-21,09-May-19,CC-01831223,,,1300,,0,1405,0,0,05-02-2026,1405,0,1412,30-01-2026,0,0,0,0,0,0,11-06-2019,1405,2431,,,0,11-06-2019,1405,2431,0,11-06-2019,1405,2431,0,11-06-2019,1405,2431,0,11-06-2019,1405,2431,Active,,,Low running,30-Jan-26,29-Jan-26,29-Jan-26,29-Jan-26,29-Jan-26,29-Jan-26,29-Jan-26,29-Jan-26,29-Jan-26
Out of Warranty,A,BULD162583,DPSAC - TROLLEY (C&M),Out of warranty,PG 450 - 150 2W 6BTA,UPWELL MINING SERVICES,BULD162583,"CHHARTARPUR, PALAMU",,,02M84931657,,,A (100% potential spares purchased),DRILLING APPLICATION                                                            ,Bikram  Sahoo,07-May-21,07-May-23,08-Apr-21,CC-01852112,,2615,,2670,2707,2754,0,2685,05-02-2026,2685,0,No Service,04-06-2021,0,0,0,0,0,0,07-05-2021,2685,1734,,,0,07-05-2021,2685,1734,0,07-05-2021,2685,1734,0,07-05-2021,2685,1734,0,07-05-2021,2685,1734,Active,,,Spurious,,,,,,,,,
Out of Warranty,A,BVJD162958,DPSAC - SKID (C&M),Out of warranty,PG 550S-200,M K DRILLS,BVJD162958,"BHOWRA, DHANBAD",,,MHHM107153,,,A (100% potential spares purchased),,Bikram  Sahoo,30-Mar-22,30-Mar-24,13-Jan-22,CC-01831250,,,4900,,0,5214,0,0,05-02-2026,5214,0,2660,20-12-2023,0,0,0,0,0,0,30-03-2022,5214,1408,,,0,30-03-2022,5214,1408,0,30-03-2022,5214,1408,0,30-03-2022,5214,1408,0,30-03-2022,5214,1408,Active,,,0,19-Dec-23,19-Dec-23,19-Dec-23,19-Dec-23,19-Dec-23,09-Apr-23,,09-Apr-23,
Out of Warranty,Shifted,BUIL152973,EPSAC - TROLLEY,Out of warranty,PG 45 E-7,UNIQUE SERVICES PVT LTD,BUIL152973,#N/A,,,,,,A (100% potential spares purchased),Other Industry                                                                  ,Debraj Manna,22-Apr-22,22-Apr-24,20-Jan-22,CC-00742851,,,,,0,,#N/A,#N/A,05-02-2026,#N/A,0,No Service,NO Service,0,0,0,0,0,0,22-04-2022,#N/A,1385,,,0,22-04-2022,#N/A,1385,0,22-04-2022,#N/A,1385,0,22-04-2022,#N/A,1385,0,22-04-2022,#N/A,1385,Shifted to Hydrabad (NATIONAL EQUIPMENT AGENGIES),Shifted to Hydrabad (NATIONAL EQUIPMENT AGENGIES),,,,,,,,,,,
Out of Warranty,A,BULL160564,DPSAC - SKID (C&M),Out of warranty,PG 90E-12.5,EKLAVAYA STONE & MINES PVT. LTD.,BULL160564,"SHEKHPURA, BIHAR",,NA,NA,,,A (100% potential spares purchased),CONSTRUCTION                                                                    ,Bikram  Sahoo,26-Jun-21,26-Jun-23,29-Mar-21,CC-01826993,6340,,6500,,0,6813,6800,0,05-02-2026,6813,0,4715,06-12-2023,0,0,0,0,0,0,26-06-2021,6813,1684,,,0,26-06-2021,6813,1684,0,26-06-2021,6813,1684,0,26-06-2021,6813,1684,0,26-06-2021,6813,1684,Active,,,Low running,05-Dec-23,05-Dec-23,,05-Dec-23,05-Dec-23,05-Dec-23,05-Dec-23,05-Dec-23,05-Dec-23
Out of Warranty,B,BSHD120741,DPSAC - TROLLEY (C&M),Out of warranty,PG 300 - 100 2W HINO,AFCONS INFRASTRUCTURE LIMITED,BSHD120741,#N/A,,,,,,B (Below 100% potential spares purchased),,Debraj Manna,09-Mar-20,09-Mar-22,24-Sep-19,CC-01144630,,,,,1394,1441,0,0,05-02-2026,1441,0,No Service,NO Service,0,0,0,0,0,0,09-03-2020,1441,2159,,,0,09-03-2020,1441,2159,0,09-03-2020,1441,2159,0,09-03-2020,1441,2159,0,09-03-2020,1441,2159,Active,,,#N/A,,,,,,,,,
Out of Warranty,Scraped,BSID220375,DPSAC - TROLLEY (C&M),Out of warranty,PG 450-200,R.S.MINERALS AND SERVICES,BSID220375,SARAIKELA,,,KCHM116671,,,B (Below 100% potential spares purchased),MINING                                                                          ,Debraj Manna,08-Jan-20,08-Jan-22,16-Oct-19,CC-01303484,,,,,0,,#N/A,#N/A,05-02-2026,#N/A,0,3633,29-12-2023,0,0,0,0,0,0,08-01-2020,#N/A,2220,,,0,08-01-2020,#N/A,2220,0,08-01-2020,#N/A,2220,0,08-01-2020,#N/A,2220,0,08-01-2020,#N/A,2220,Scraped,,Scraped,,28-Dec-23,28-Dec-23,28-Dec-23,28-Dec-23,28-Dec-23,28-Dec-23,28-Dec-23,28-Dec-23,28-Dec-23
Out of Warranty,A,BSGD161864,DPSAC - SKID (C&M),Out of warranty,PG 550S-200,PLR PROJECTS PVT LTD,BSGD161864,TOPIN SOUTH  ,,,KEHM110827,,,A (100% potential spares purchased),MINING                                                                          ,Bikram  Sahoo,30-Oct-19,30-Oct-21,23-Aug-19,CC-01856247,,7060,,7060,7060,7060,0,7060,05-02-2026,7060,0,7060,16-12-2025,0,0,0,0,0,0,30-10-2019,7060,2289,,,0,30-10-2019,7060,2289,0,30-10-2019,7060,2289,0,30-10-2019,7060,2289,0,30-10-2019,7060,2289,Active,,,#N/A,15-Dec-25,15-Dec-25,15-Dec-25,15-Dec-25,15-Dec-25,15-Dec-25,15-Dec-25,15-Dec-25,15-Dec-25
Out of Warranty,A,BTJD162046,DPSAC - SKID (C&M),Out of warranty,PG 550S-200,JRR PROJECTS,BTJD162046,BASTAWLA DHANBAD,,,KYHM121233,,,A (100% potential spares purchased),MINING                                                                          ,Bikram  Sahoo,17-Aug-20,17-Aug-22,15-Nov-19,CC-01842856,9725,,9950,,0,10378,10360,0,05-02-2026,10378,0,10015,24-10-2025,0,0,0,0,0,0,17-08-2020,10378,1997,,,0,17-08-2020,10378,1997,0,17-08-2020,10378,1997,0,17-08-2020,10378,1997,0,17-08-2020,10378,1997,Active,,,Low running,23-Oct-25,23-Oct-25,23-Oct-25,23-Oct-25,23-Oct-25,23-Oct-25,23-Oct-25,23-Oct-25,23-Oct-25
Out of Warranty,C,BTJD162040,DPSAC - TROLLEY (C&M),Out of warranty,PG 500-175,ANKIT ACCESSORIES,BTJD162040,"ANKIT KUMAR SONTHALIA, R.N. BOSE ROAD, SATSANG GATE, NEAR HANUMAN MANDIR,, PURANDAHA, DEOGHAR, DIST. DUMKA,, JHARKHAND",,,KBHM118487,,,C (Not Buying Spares or buying lubricants),,Bikram  Sahoo,09-Jul-20,09-Jul-22,15-Nov-19,CC-01856640,,4540,,4650,4715,4809,0,4680,05-02-2026,4680,0,No Service,14-08-2020,0,0,0,0,0,0,09-07-2020,4680,2036,,,0,09-07-2020,4680,2036,0,09-07-2020,4680,2036,0,09-07-2020,4680,2036,0,09-07-2020,4680,2036,Active,,,Spurious,,,,,,,,,
